include,xmltv_id,raw_name,provider,confidence,score,matched_db_name,grab_site,grab_site_id
yes,ColorsKannada.in@SD,Colors Kannada SD,meowfy,auto,100.0,Colors Kannada,dishtv.in,157579
yes,ColorsKannada.in@SD,COLORS KANNADA [IN-UK],sktech,auto,100.0,Colors Kannada,dishtv.in,157579
yes,ColorsKannadaCinema.in@SD,Colors Kannada Cinema,meowfy,auto,100.0,Colors Kannada Cinema,dishtv.in,142752
yes,ColorsMarathi.in@SD,Colors Marathi HD,meowfy,auto,100.0,Colors Marathi,dishtv.in,157580
yes,ColorsMarathi.in@SD,Colors Marathi SD,meowfy,auto,100.0,Colors Marathi,dishtv.in,157580
yes,ColorsMarathi.in@SD,COLORS MARATHI [IN-UK],sktech,auto,100.0,Colors Marathi,dishtv.in,157580
yes,ColorsRishteyAsia.in@SD,Colors Rishtey,meowfy,auto,100.0,,dishtv.in,158239
yes,ColorsRishteyAsia.in@SD,COLORS RISHTEY [IN-UK],sktech,auto,100.0,,dishtv.in,158239
yes,ColorsSuper.in@SD,Colors Super,meowfy,auto,100.0,Colors Super,dishtv.in,158240
yes,ColorsTamil.in@SD,Colors Tamil HD,meowfy,auto,100.0,Colors Tamil,dishtv.in,157682
yes,ColorsTamil.in@SD,Colors Tamil,meowfy,auto,100.0,Colors Tamil,dishtv.in,157682
review,ColorsTamil.in@SD,COLORS TV HD [IN],sktech,review,76.2,Colors Tamil,dishtv.in,157682
yes,DANewsPlus.in@jiotv,DA News Plus,meowfy,auto,100.0,DA News Plus,jiotv.com,1797
yes,DD5Podhigai.in@jiotv,DD5 Podhigai,meowfy,auto,100.0,DD5 Podhigai,jiotv.com,726
yes,DD9chandanakannada.in@jiotv,DD9 chandana (kannada),meowfy,auto,100.0,DD9 chandana (kannada),jiotv.com,713
yes,DDArunPrabha.in@SD,DD Arunprabha,meowfy,auto,100.0,DD Arun Prabha,dishtv.in,142776
yes,DDBangla.in@SD,DD Bangla,meowfy,auto,100.0,DD Bangla,dishtv.in,142778
yes,DDBharati.in@SD,DD bharati,meowfy,auto,100.0,DD Bharati,dishtv.in,142779
yes,DDBharati.in@SD,DD BHARATI [IN],sktech,auto,100.0,DD Bharati,dishtv.in,142779
yes,DDBharati.in@SD,DD BHARTI [IN],sktech,auto,94.7,DD Bharati,dishtv.in,142779
yes,DDBihar.in@SD,DD Bihar,meowfy,auto,100.0,DD Bihar,dishtv.in,142780
yes,DDBihar.in@SD,DD BIHAR [IN],sktech,auto,100.0,DD Bihar,dishtv.in,142780
yes,DDGirnar.in@SD,DD Girnar,meowfy,auto,100.0,DD Girnar,dishtv.in,142782
yes,DDIndia.in@HD,DD India,meowfy,auto,100.0,DD India,dishtv.in,154545
yes,DDIndia.in@HD,DD INDIA FHD [IN],sktech,auto,100.0,DD India,dishtv.in,154545
yes,DDKashir.in@SD,DD Kashir,meowfy,auto,100.0,DD Kashir,dishtv.in,142788
yes,DDKisan.in@SD,DD Kisan,meowfy,auto,100.0,DD Kisan,dishtv.in,142789
yes,DDKisan.in@SD,DD KISAN [IN],sktech,auto,100.0,DD Kisan,dishtv.in,142789
yes,DDMadhyaPradesh.in@SD,DD Madhya Pradesh,meowfy,auto,100.0,DD Madhya Pradesh,dishtv.in,142790
yes,DDMalayalam.in@SD,DD Malayalam,meowfy,auto,100.0,DD Malayalam,dishtv.in,142791
yes,DDNational.in@SD,DD National,meowfy,auto,100.0,DD National,dishtv.in,158252
yes,DDNational.in@SD,DD NATIONAL FHD [IN],sktech,auto,100.0,DD National,dishtv.in,158252
review,DDNational.in@SD,MATV NATIONAL [IN-UK],sktech,review,75.0,DD National,dishtv.in,158252
review,DDNews.in@HD,I News,meowfy,review,76.9,DD News,dishtv.in,157683
yes,DDNews.in@HD,DD News,meowfy,auto,100.0,DD News,dishtv.in,157683
yes,DDNews.in@HD,DD NEWS HD [IN],sktech,auto,100.0,DD News,dishtv.in,157683
yes,DDNorthEast.in@jiotv,DD North East,meowfy,auto,100.0,DD North East,jiotv.com,2759
yes,DDPunjabi.in@SD,DD Punjabi,meowfy,auto,100.0,DD Punjabi,dishtv.in,142800
review,DDPunjabi.in@SD,JUS Punjabi,meowfy,review,76.2,DD Punjabi,dishtv.in,142800
yes,DDRajasthan.in@SD,DD Rajasthan (Jaipur),meowfy,auto,100.0,DD Rajasthan,dishtv.in,142801
yes,DDRajasthan.in@SD,DD RAJASTHAN [IN],sktech,auto,100.0,DD Rajasthan,dishtv.in,142801
yes,DDSahyadri.in@SD,DD Sahayadri,meowfy,auto,95.7,DD Sahyadri,dishtv.in,142803
